"List of input data for “Comparing trends in the Soouthern Annular Mode and surface westerly jet” by Swart, Fyfe, Gillett and Marshall",,,,,,,
,,,,,,,
Data type,Filename,Variable (s),Units,Adjustments from original,Download script,Source,Reference
Observations,,,,,,,
,HadSLP2r_slp.mon.mean.nc,slp,Pa,Merge HadSLP2 and HadSLP2r lowvar in netCDF format; Convert from mb to Pa,get_hadslp2r_data.py,,
,marshall_sam.csv,slp,Pa,,,,
,CCMP_198701-201112.nc,"uwnd, uflx","m/s, Pa",,,,
Reanalyses,,,,,,,
,R1_slp.mon.mean.nc,slp,Pa,,,,
,R1_u10m.mon.mean.nc,u10m,m/s,rename uwnd to u10m,,,
,R1_uflx.mon.mean.nc,uflx,Pa,mask land,,,
,R2_slp.mon.mean.nc,slp,Pa,,,,
,R2_u10m.mon.mean.nc,u10m,m/s,rename uwnd to u10m,,,
,R2_uflx.mon.mean.nc,uflx,Pa,mask land,,,
,20CR_ens_slp.mon.mean.nc,slp,Pa,,,,
,20CR_ens_u10m.mon.mean.nc,u10m,m/s,,,,
,20CR_slp.mon.mean.nc,slp,Pa,,,,
,20CR_u10m.mon.mean.nc,u10m,m/s,rename uwnd to u10m,,,
,20CR_uflx.mon.mean.nc,uflx,Pa,mask land,,,
,CFSR_slp.mon.mean.nc,slp,Pa,,,,
,CFSR_u10m.mon.mean.nc,u10m,m/s,rename 10u to u10m,,,
,CFSR_uflx.mon.mean.nc,uflx,Pa,mask land,,,
,ERA-Int_slp.mon.mean.nc,slp,Pa,,,,
,ERA-Int_u10m.mon.mean.nc,u10m,m/s,,,,
,ERA-Int_uflx.mon.mean.nc,uflx,Pa,mask land,,,
,MERRA_slp.mon.mean.nc,slp,Pa,,,,
,MERRA_u10m.mon.mean.nc,u10m,m/s,,,,
,MERRA_uflx.mon.mean.nc,uflx,Pa,mask land,,,
CMIP5 models,,,,,,,
,psl_Amon_ACCESS1-0_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_ACCESS1-3_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_bcc-csm1-1_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_bcc-csm1-1-m_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_BNU-ESM_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_CanESM2_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_CMCC-CM_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_CMCC-CMS_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_CNRM-CM5_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_CSIRO-Mk3-6-0_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_GISS-E2-H-CC_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_GISS-E2-H_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_GISS-E2-R-CC_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_GISS-E2-R_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_HadCM3_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_HadGEM2-AO_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_HadGEM2-CC_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_HadGEM2-ES_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_inmcm4_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_IPSL-CM5A-LR_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_IPSL-CM5A-MR_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_IPSL-CM5B-LR_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MIROC5_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MIROC-ESM-CHEM_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MIROC-ESM_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MPI-ESM-LR_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MPI-ESM-MR_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_MRI-CGCM3_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_NorESM1-ME_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,psl_Amon_NorESM1-M_historical-rcp45_r1i1p1_188101-201212.nc,psl,Pa,"Merge experiments, select date range",,,
,tauu_Amon_ACCESS1-0_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_ACCESS1-3_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_bcc-csm1-1_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_bcc-csm1-1-m_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_BNU-ESM_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_CanESM2_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_CMCC-CM_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_CMCC-CMS_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_CNRM-CM5_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_CSIRO-Mk3-6-0_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_GISS-E2-H-CC_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_GISS-E2-H_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_GISS-E2-R-CC_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_GISS-E2-R_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_HadCM3_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_HadGEM2-AO_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_HadGEM2-CC_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_HadGEM2-ES_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_inmcm4_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_IPSL-CM5A-LR_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_IPSL-CM5A-MR_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_IPSL-CM5B-LR_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_MIROC5_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_MIROC-ESM-CHEM_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
,tauu_Amon_MIROC-ESM_historical-rcp45_r1i1p1_188101-201212.nc,tauu,Pa,"Merge experiments, select date range",,,
